rubric_id,rubric_url,category_id,category_url
statCom_libro4_rubrica17,https://statutiascoli.it/statuti.html?id=1_4_18,donne,https://statutiascoli.it/categorie.html?id=donne
statCom_libro4_rubrica17,https://statutiascoli.it/statuti.html?id=1_4_18,clero,https://statutiascoli.it/categorie.html?id=clero
statCom_libro4_rubrica25,https://statutiascoli.it/statuti.html?id=1_4_26,statuti,https://statutiascoli.it/categorie.html?id=statuti
statPop_libro1_rubrica1,https://statutiascoli.it/statuti.html?id=2_1_2,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica2,https://statutiascoli.it/statuti.html?id=2_1_3,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica3,https://statutiascoli.it/statuti.html?id=2_1_4,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica4,https://statutiascoli.it/statuti.html?id=2_1_5,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica23,https://statutiascoli.it/statuti.html?id=2_1_24,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica28,https://statutiascoli.it/statuti.html?id=2_1_29,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica29,https://statutiascoli.it/statuti.html?id=2_1_30,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica32,https://statutiascoli.it/statuti.html?id=2_1_33,costituzione,https://statutiascoli.it/categorie.html?id=costituzione
statPop_libro1_rubrica55,https://statutiascoli.it/statuti.html?id=2_1_56,economia,https://statutiascoli.it/categorie.html?id=economia
statPop_libro1_rubrica70,https://statutiascoli.it/statuti.html?id=2_1_71,statuti,https://statutiascoli.it/categorie.html?id=statuti
statPop_libro1_rubrica71,https://statutiascoli.it/statuti.html?id=2_1_72,statuti,https://statutiascoli.it/categorie.html?id=statuti
statPop_libro1_rubrica93,https://statutiascoli.it/statuti.html?id=2_1_94,economia,https://statutiascoli.it/categorie.html?id=economia
statPop_libro2_rubrica1,https://statutiascoli.it/statuti.html?id=2_2_2,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica2,https://statutiascoli.it/statuti.html?id=2_2_3,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica3,https://statutiascoli.it/statuti.html?id=2_2_4,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro2_rubrica3,https://statutiascoli.it/statuti.html?id=2_2_4,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica4,https://statutiascoli.it/statuti.html?id=2_2_5,clero,https://statutiascoli.it/categorie.html?id=clero
statPop_libro2_rubrica5,https://statutiascoli.it/statuti.html?id=2_2_6,reati,https://statutiascoli.it/categorie.html?id=reati
statPop_libro2_rubrica5,https://statutiascoli.it/statuti.html?id=2_2_6,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica6,https://statutiascoli.it/statuti.html?id=2_2_7,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica7,https://statutiascoli.it/statuti.html?id=2_2_8,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica8,https://statutiascoli.it/statuti.html?id=2_2_9,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica9,https://statutiascoli.it/statuti.html?id=2_2_10,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica10,https://statutiascoli.it/statuti.html?id=2_2_11,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica11,https://statutiascoli.it/statuti.html?id=2_2_12,clero,https://statutiascoli.it/categorie.html?id=clero
statPop_libro2_rubrica12,https://statutiascoli.it/statuti.html?id=2_2_13,feste,https://statutiascoli.it/categorie.html?id=feste
statPop_libro2_rubrica13,https://statutiascoli.it/statuti.html?id=2_2_14,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statPop_libro2_rubrica14,https://statutiascoli.it/statuti.html?id=2_2_15,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statPop_libro2_rubrica22,https://statutiascoli.it/statuti.html?id=2_2_23,castelli,https://statutiascoli.it/categorie.html?id=castelli
statPop_libro2_rubrica22,https://statutiascoli.it/statuti.html?id=2_2_23,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statPop_libro2_rubrica23,https://statutiascoli.it/statuti.html?id=2_2_24,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro2_rubrica23,https://statutiascoli.it/statuti.html?id=2_2_24,sicurezza,https://statutiascoli.it/categorie.html?id=sicurezza
statPop_libro2_rubrica24,https://statutiascoli.it/statuti.html?id=2_2_25,clero,https://statutiascoli.it/categorie.html?id=clero
statPop_libro3_rubrica8,https://statutiascoli.it/statuti.html?id=2_3_9,reati,https://statutiascoli.it/categorie.html?id=reati
statPop_libro3_rubrica8,https://statutiascoli.it/statuti.html?id=2_3_9,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica9,https://statutiascoli.it/statuti.html?id=2_3_10,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica10,https://statutiascoli.it/statuti.html?id=2_3_11,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica10,https://statutiascoli.it/statuti.html?id=2_3_11,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica11,https://statutiascoli.it/statuti.html?id=2_3_12,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica11,https://statutiascoli.it/statuti.html?id=2_3_12,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica12,https://statutiascoli.it/statuti.html?id=2_3_13,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica13,https://statutiascoli.it/statuti.html?id=2_3_14,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica14,https://statutiascoli.it/statuti.html?id=2_3_15,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica17,https://statutiascoli.it/statuti.html?id=2_3_18,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica19,https://statutiascoli.it/statuti.html?id=2_3_20,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica19,https://statutiascoli.it/statuti.html?id=2_3_20,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica20,https://statutiascoli.it/statuti.html?id=2_3_21,decoroUrbano,https://statutiascoli.it/categorie.html?id=decoroUrbano
statPop_libro3_rubrica21,https://statutiascoli.it/statuti.html?id=2_3_22,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica22,https://statutiascoli.it/statuti.html?id=2_3_23,animali,https://statutiascoli.it/categorie.html?id=animali
statPop_libro3_rubrica22,https://statutiascoli.it/statuti.html?id=2_3_23,produzione,https://statutiascoli.it/categorie.html?id=produzione
statPop_libro3_rubrica23,https://statutiascoli.it/statuti.html?id=2_3_24,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica24,https://statutiascoli.it/statuti.html?id=2_3_25,urbanistica,https://statutiascoli.it/categorie.html?id=urbanistica
statPop_libro3_rubrica28,https://statutiascoli.it/statuti.html?id=2_3_29,commercio,https://statutiascoli.it/categorie.html?id=commercio
