id,url,label,date,authority_uri,note,text_units
festaSanBartolomeo,https://statutiascoli.it/calendario.html?id=festaSanBartolomeo,San Bartolomeo,--08-24,https://www.wikidata.org/wiki/Q43982,"Apostolo e martire, †47",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSantAndrea,https://statutiascoli.it/calendario.html?id=festaSantAndrea,Sant'Andrea,--11-30,https://www.wikidata.org/wiki/Q43399,"Apostolo, I sec",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanTommaso,https://statutiascoli.it/calendario.html?id=festaSanTommaso,San Tommaso,--12-21,https://www.wikidata.org/wiki/Q43669,Apostolo e martire,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanMarco,https://statutiascoli.it/calendario.html?id=festaSanMarco,San Marco,--04-25,https://www.wikidata.org/wiki/Q31966,"Evangelista e martire, †68",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanMatteo,https://statutiascoli.it/calendario.html?id=festaSanMatteo,San Matteo Aposto ed Evangelista,--09-21,https://www.wikidata.org/wiki/Q43600,"Apostolo ed evangelista, I sec.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanLuca,https://statutiascoli.it/calendario.html?id=festaSanLuca,San Luca,--10-18,https://www.wikidata.org/wiki/Q128538,"Evangelista, I sec",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanGiovanni,https://statutiascoli.it/calendario.html?id=festaSanGiovanni,San Giovanni,--12-27,https://www.wikidata.org/wiki/Q44015,"Apostolo ed evangelista, †101",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaResurrezione,https://statutiascoli.it/calendario.html?id=festaResurrezione,Pasqua,1496-04-03,https://www.wikidata.org/wiki/Q21196,La Pasqua di Resurrezione è celebrata dalla chiesa nella I domenica dopo il plenilunio di marzo. È pertanto una festa mobile da cui dipendono le altre feste mobili dell'anno.,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statCom_libro3_rubrica70; url=https://statutiascoli.it/statuti.html?id=1_3_71 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4
festaAscensioneGesu,https://statutiascoli.it/calendario.html?id=festaAscensioneGesu,Ascensione di Gesù Cristo,1496-05-12,https://www.wikidata.org/wiki/Q5686605,Festa mobile che la chiesa celebra 40 giorni dopo Pasqua.,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4
festaPentecoste,https://statutiascoli.it/calendario.html?id=festaPentecoste,Pentecoste,1496-05-22,https://www.wikidata.org/wiki/Q39864,"Celebrazione della discesa dello Spirito Santo nel Cenacolo, sugli Apostoli e la Vergine. Cade nel cinquantesimo giorno a partire dal giorno di Pasqua compreso, di domenica, ed è quindi una festa mobile dipendente dalla data della Pasqua.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaCorpusDomini,https://statutiascoli.it/calendario.html?id=festaCorpusDomini,Corpus Domini,1496-05-26,https://www.wikidata.org/wiki/Q152395,Solennità del Santissimo Corpo e Sangue di Cristo. È una festa mobile e si celebra il giovedì dopo la domenica della ss. Trinità.,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica5; url=https://statutiascoli.it/statuti.html?id=2_2_6
festaVenerdiSanto,https://statutiascoli.it/calendario.html?id=festaVenerdiSanto,Venerdì santo,1496-04-01,https://www.wikidata.org/wiki/Q40317,"Venerdì che precede la Paqua, detto anche Parasceve.",id=statCom_libro3_rubrica70; url=https://statutiascoli.it/statuti.html?id=1_3_71 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica5; url=https://statutiascoli.it/statuti.html?id=2_2_6
festaMartediGrasso,https://statutiascoli.it/calendario.html?id=festaMartediGrasso,Martedì grasso,1496-02-15,https://www.wikidata.org/wiki/Q4845365,"Ultimo giorno di Carnevale (chiamato anche Carnasciale), prima del Mercolì delle Ceneri che apre la Quaresima.",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statCom_libro3_rubrica70; url=https://statutiascoli.it/statuti.html?id=1_3_71
